No,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,Time
225,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.6,-88.0,2021-05-28T22:45:21
226,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.2,-88.0,2021-05-28T22:45:22
227,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.2,-88.0,2021-05-28T22:45:23
228,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:45:24
229,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:45:26
230,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:27
231,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:28
232,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:29
233,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:45:31
234,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:45:32
235,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:45:33
236,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:45:34
